Lat,Long,Time
29.659461458549107,-82.41717991379568,1740245599.895824
29.683605655374823,-82.43902220122024,1740245944.170331
29.682757229526178,-82.4323091459002,1740246297.901095
29.682757229526178,-82.4323091459002,1740248648.293426
29.683137329100994,-82.43862152515602,1740264013.800154
29.678296192723185,-82.4354523287134,1740264323.580144
29.61699213369714,-82.3873200082056,1740264627.380295
29.622115661395252,-82.38684759455975,1740264953.0289478
29.624538832061287,-82.37946764940197,1740265837.3153381
29.62604162147344,-82.37407015818799,1740266934.5078402
29.622650869695292,-82.37982306742259,1740267292.1905131
29.617949101262568,-82.37273888548582,1740268223.658303
29.613694965819384,-82.35484307579696,1740268559.669353
29.626016854695905,-82.34116050825371,1740268896.478632
29.626016854695905,-82.34116050825371,1740282081.394037
29.62596368471419,-82.34114036105761,1740282307.576106
29.617668025919098,-82.3404065888694,1740333132.9836512
29.616969599440022,-82.38457011115698,1740333490.098629
29.6828366328911,-82.43972767991015,1740333811.523652
29.682597125315375,-82.43123817591864,1740334164.0837522
29.686331863084927,-82.43858384583342,1740357159.315759
29.6623148522312,-82.42351132914976,1740357525.336863
29.61344100884503,-82.35493447619025,1740358002.375834
29.626016231680445,-82.34116037444888,1740358308.782506
29.6215274138652,-82.33992755420724,1740363993.1226358
29.62554205747441,-82.37259398111469,1740364409.809822
29.62199751290461,-82.37700448379141,1740364710.0949988
29.60848312586039,-82.3712817465933,1740365217.893908
29.61607895171811,-82.34090825292193,1740365525.905889
29.626016231680445,-82.34116037444888,1740365831.907558
29.61508064898981,-82.34104473758057,1740418143.8904939
29.61077738476767,-82.37191409856531,1740418447.94281
29.618019060439444,-82.38498858312451,1740418748.143252
29.66684843868192,-82.42485367597943,1740419049.122689
29.682804949829688,-82.43255824080158,1740419388.990334
29.674344503160057,-82.43009405599324,1740419689.095932
29.679527356318694,-82.43234966061097,1740419991.8295279
29.682599287717434,-82.4322852219114,1740426272.0249271
29.626016231680445,-82.34116037444888,1740442763.007265
29.62523390875882,-82.35860274239045,1740474748.988266
29.626016231680445,-82.34116037444888,1740475088.577589
29.609667489661593,-82.35539457017818,1740479828.063988
29.626016231680445,-82.34116037444888,1740480250.513855
29.62044867450966,-82.33994418368265,1740491551.004315
29.603452280523598,-82.37193849529368,1740491882.719908
29.669782938452617,-82.42834166733245,1740492205.575393
29.680884178268254,-82.4377899536813,1740492513.8540912
29.679438727032494,-82.4328938436623,1740495373.1099858
29.682463684594065,-82.43703252459323,1740496010.289319
29.68881204181022,-82.44244851271948,1740496386.0819778
29.627197788937348,-82.3927287002906,1740496716.362351
29.614736280862815,-82.34250227933609,1740497051.647078
29.625845854198253,-82.34092692852238,1740497352.095943
29.621298462180068,-82.33991263441959,1740498321.0885139
29.606190291260933,-82.3676936981104,1740498622.093103
29.610352514160873,-82.3724938274238,1740498926.9568849
29.603936312164663,-82.37099837176616,1740499913.907569
29.62562333417733,-82.34110618404307,1740500351.967658
29.620899441679587,-82.33996979899922,1740502432.1389198
29.64207276954926,-82.31149249700289,1740502803.031754
29.682989811197245,-82.29103384440081,1740503109.365429
29.685818981433602,-82.27861696801945,1740503410.685903
29.688412019884844,-82.2998800406365,1740503711.125768
29.688608846748192,-82.34009537480712,1740504011.0985389
29.688728585585192,-82.38819721075973,1740504312.101177
29.683231752989336,-82.430335422456,1740504613.092149
29.678250086938718,-82.43034920631176,1740504913.137103
29.68245349827193,-82.43231431588757,1740510740.106328
29.677770151784344,-82.43186119020211,1740523007.885293
29.682720561792035,-82.43278126623355,1740523417.538669
29.688724388767977,-82.43984239927295,1740523722.547251
29.64198339329341,-82.40411550543558,1740524023.0871859
29.60785293,-82.36552429,1740524388.213204
29.62521362121245,-82.34099026880007,1740524813.231817
29.620643919361402,-82.3400381953291,1740525608.094078
29.604921815944465,-82.37103103667718,1740525909.045065
29.623923758072426,-82.37586504787427,1740526209.1085582
29.626054211844004,-82.38780505050701,1740526517.0461779
29.624130219278964,-82.38258597896683,1740527339.4411922
29.621354956207444,-82.37847274176998,1740528976.091109
29.62500114892074,-82.37434923840857,1740529636.841776
29.617785878196813,-82.37211689306442,1740531034.577472
29.614981683894012,-82.34060557343426,1740531458.165981
29.6253105023169,-82.34085380305477,1740531763.12307
29.62612250319027,-82.34127582233388,1740568676.469666
29.61969294516263,-82.33986711687704,1740579525.7078838
29.604716721014203,-82.37558696649548,1740579826.8587198
29.669774659043835,-82.42830905899957,1740580143.5825691
29.688486924977855,-82.43947623951134,1740580531.191629
29.6819813530391,-82.43074489659492,1740580887.309509
29.68323020732932,-82.43661808789003,1740604373.287374
29.672392750238526,-82.43129903086754,1740604709.12919
29.600581911471796,-82.37466288434817,1740605105.216955
29.615036227051377,-82.34091788935787,1740605456.236839
29.626015256208014,-82.34115909941143,1740605758.444594
29.625955579999985,-82.34129332999997,1740605950.768034
29.624902068215512,-82.3516787446243,1740617203.980369
